                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7922,                 5.2508,                 1.5325,                0.00369,                    0.5,                0.00364,                 0.0022,                 1.0402,                 4.4247,                 1.2109,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.1678,                 3.3822,                 1.0653,                0.00518,                  0.775,                0.02509,                0.02014,                 1.0022,                 3.8411,                 1.0835,             0.00056035,             0.00056035,             0.00056035
                      3,                 1.1656,                 2.3283,                  1.071,                0.26986,                0.89818,                0.57747,                0.39724,                 1.0818,                 3.1193,                 1.0604,             0.00081354,             0.00081354,             0.00081354
                      4,                 1.0924,                 2.1861,                 1.0261,                      1,                0.22728,                0.90676,                 0.5367,                 1.1932,                 3.0457,                 1.0407,               0.001043,               0.001043,               0.001043
                      5,                  1.194,                 1.7898,                 1.0315,                0.95987,                0.84199,                0.97594,                0.64097,                 1.0928,                  2.626,                0.99483,              0.0012486,              0.0012486,              0.0012486
                      6,                 1.1182,                 1.7522,                 1.0165,                      1,                0.66536,                0.99143,                0.67213,                 1.0694,                 2.3802,                 1.0086,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.1326,                 1.6121,                 1.0442,                0.96168,                   0.95,                0.99045,                0.69891,                 1.0457,                 1.9493,                0.96555,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.1289,                 1.6703,                 1.0065,                0.95843,                0.95103,                0.99381,                0.65659,                 1.1136,                 2.0234,                0.99316,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.1968,                 1.7203,                 1.0716,                 0.9442,                      1,                  0.995,                0.66799,                 1.1221,                 1.5794,                 1.0245,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.0847,                 1.5308,                 1.0036,                0.99469,                      1,                  0.995,                0.69526,                 0.9838,                 1.3327,                0.98759,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.1133,                 1.4398,                0.99823,                0.97191,                      1,                  0.995,                0.68049,                 1.0316,                 1.5964,                0.99706,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.0948,                 1.4136,                 0.9789,                0.98443,                      1,                  0.995,                0.69254,                0.98905,                 1.3875,                0.99483,              0.0010069,              0.0010069,              0.0010069
                     13,                0.98617,                 1.3343,                0.97452,                0.99028,                      1,                  0.995,                0.71021,                0.92071,                 1.2936,                0.97589,             0.00094085,             0.00094085,             0.00094085
                     14,                0.98608,                 1.3377,                0.99864,                0.99415,                      1,                  0.995,                0.74619,                0.88489,                 1.2371,                 0.9603,             0.00087484,             0.00087484,             0.00087484
                     15,                 0.9951,                 1.2833,                0.98083,                0.99103,                   0.95,                0.99148,                0.73356,                0.88757,                 1.2586,                0.96014,             0.00080883,             0.00080883,             0.00080883
                     16,                 0.9022,                  1.283,                0.95915,                0.99747,                0.96961,                0.99381,                0.74634,                0.84049,                  1.255,                0.94633,             0.00074282,             0.00074282,             0.00074282
                     17,                0.87899,                 1.2228,                0.94849,                0.98783,                      1,                  0.995,                0.73275,                0.83858,                 1.1129,                0.93622,              0.0006768,              0.0006768,              0.0006768
                     18,                0.92023,                 1.1994,                0.95081,                0.99004,                      1,                  0.995,                0.72509,                0.89558,                 1.0937,                0.95953,             0.00061079,             0.00061079,             0.00061079
                     19,                0.91164,                 1.2261,                0.94832,                0.99058,                      1,                  0.995,                0.73777,                0.90822,                 1.1261,                0.97393,             0.00054478,             0.00054478,             0.00054478
                     20,                 0.8769,                 1.1322,                0.94451,                0.99221,                      1,                  0.995,                0.77303,                0.83993,                 1.1325,                0.96378,             0.00047876,             0.00047876,             0.00047876
                     21,                0.81205,                 1.1187,                0.93556,                0.99445,                      1,                  0.995,                0.76413,                0.81409,                 1.1185,                 0.9647,             0.00041275,             0.00041275,             0.00041275
                     22,                0.82963,                 1.0854,                0.94032,                0.99442,                      1,                  0.995,                0.76247,                0.81661,                   1.09,                0.96454,             0.00034674,             0.00034674,             0.00034674
                     23,                0.80688,                 1.0498,                 0.9348,                0.99188,                      1,                  0.995,                0.76631,                0.81026,                 1.0671,                0.95855,             0.00028072,             0.00028072,             0.00028072
                     24,                0.80045,                 1.0294,                0.92275,                0.98941,                      1,                  0.995,                0.77459,                0.80441,                  1.032,                0.95272,             0.00021471,             0.00021471,             0.00021471
                     25,                0.81105,                 1.0288,                0.91932,                0.98944,                      1,                  0.995,                0.78145,                 0.7923,                 1.0192,                0.94141,              0.0001487,              0.0001487,              0.0001487
